name,rating,metacritic,release_date,main_genre
The Elder Scrolls VI,4.86,,,Action
"Warhammer 40,000: Dawn of War - Definitive Edition",4.83,,,Sin género
No Case Should Remain Unsolved,4.83,,2024-01-17,Adventure
Gimmick!,4.83,,1992-01-31,Sin género
Super Robot Taisen: Original Generation,4.83,,2002-11-22,Action
The Witcher 3: Wild Hunt – Blood and Wine,4.81,92.0,2016-05-30,RPG
The Witcher 3 Wild Hunt - Complete Edition,4.8,92.0,2016-08-30,Adventure
The Witcher 3: Wild Hunt – Hearts of Stone,4.76,90.0,2015-10-13,RPG
Persona 5 Royal,4.75,94.0,2020-03-31,Adventure
Mass Effect Trilogy,4.75,,2012-11-06,Action
Esoteric Ebb,4.71,,2026-03-03,Adventure
Cyberpunk 2077: Phantom Liberty,4.71,,2023-09-26,Action
Sonic Triple Trouble 16-Bit (NoahNCopeland),4.71,,2022-08-02,Action
Bloodborne: The Old Hunters,4.71,,2015-11-24,Action
Adventure Island IV,4.71,,1994-06-24,Adventure
Guilty Parade,4.71,,,Adventure
Godzilla Save the Earth,4.71,,2004-11-02,Action
Arcaea,4.71,,2017-03-09,Arcade
Victoria 2: Heart of Darkness,4.71,,2013-04-16,Strategy
Harvest Moon: Friends of Mineral Town (Wii),4.71,,2015-06-11,Adventure
